id,icao,hub_cost,done,yd,jd,fd
105,CYGM,48000,True,501.0,98.0,30.0
106,CYGO,48000,True,,,
107,CYGP,48000,True,,,
108,CYGQ,48000,True,,,
109,CYGR,48000,True,,,
110,CYGT,48000,True,,,
111,CYGV,48000,True,,,
112,CYGW,48000,True,,,
113,CYGX,48000,True,,,
114,CYHA,48000,True,,,
115,CYHD,48000,True,395.0,96.0,25.0
116,CYHE,48000,True,239.0,112.0,53.0
117,CYHF,48000,True,211.0,165.0,40.0
118,CYHH,48000,True,,,
119,CYHI,48000,True,,,
120,CYHK,48000,True,,,
121,CYHM,48000,True,288.0,202.0,57.0
122,CYHN,48000,True,,,
123,CYHO,48000,True,,,
124,CYHR,48000,True,,,
125,CYHT,48000,True,,,
126,CYHU,48000,True,,,
127,CYHY,48000,True,202.0,165.0,43.0
128,CYHZ,48000,True,222.0,202.0,37.0
129,CYIB,48000,True,,,
130,CYID,48000,True,,,
131,CYIF,48000,True,,,
132,CYIK,48000,True,212.0,177.0,58.0
133,CYIO,48000,True,,,
134,CYIV,48000,True,,,
135,CYJF,48000,True,,,
136,CYJN,48000,True,,,
137,CYJT,48000,True,,,
138,CYKA,48000,True,,,
139,CYKD,48000,True,493.0,52.0,31.0
140,CYKF,48000,True,137.0,181.0,54.0
141,CYKG,48000,True,,,
142,CYKJ,48000,True,,,
143,CYKL,48000,True,,,
144,CYKO,48000,True,,,
145,CYKQ,48000,True,,,
146,CYKX,48000,True,,,
147,CYKY,48000,True,,,
148,CYKZ,48000,True,284.0,92.0,71.0
149,CYLA,48000,True,,,
150,CYLD,48000,True,,,
151,CYLH,48000,True,,,
152,CYLJ,48000,True,,,
153,CYLK,48000,True,,,
154,CYLL,48000,True,,,
155,CYLR,48000,True,,,
156,CYLT,48000,True,148.0,170.0,74.0
157,CYLU,48000,True,,,
158,CYLW,48000,True,313.0,92.0,100.0
159,CYMA,48000,True,,,
160,CYME,48000,True,,,
161,CYMG,48000,True,,,
162,CYMH,48000,True,,,
163,CYMJ,48000,True,,,
164,CYML,48000,True,346.0,94.0,39.0
165,CYMM,48000,True,,,
166,CYMO,48000,True,,,
167,CYMT,48000,True,,,
168,CYMU,48000,True,,,
169,CYMX,48000,True,250.0,104.0,65.0
170,CYNA,48000,True,,,
171,CYNC,48000,True,,,
172,CYND,48000,True,,,
173,CYNE,48000,True,,,
174,CYNL,48000,True,,,
175,CYNM,48000,True,,,
176,CYOA,48000,True,412.0,51.0,28.0
177,CYOC,48000,True,,,
179,CYOH,48000,True,370.0,78.0,114.0
180,CYOJ,48000,True,,,
181,CYOO,48000,True,213.0,143.0,106.0
182,CYOP,48000,True,,,
183,CYOS,48000,True,,,
184,CYOW,237000,True,819.0,233.0,348.0
185,CYPA,48000,True,261.0,91.0,107.0
186,CYPC,48000,True,,,
187,CYPD,48000,True,,,
188,CYPE,48000,True,,,
189,CYPG,48000,True,,,
190,CYPH,48000,True,,,
191,CYPL,48000,True,,,
192,CYPM,48000,True,,,
193,CYPN,48000,True,,,
194,CYPQ,48000,True,,,
195,CYPR,48000,True,,,
196,CYPW,48000,True,,,
197,CYPX,48000,True,,,
198,CYPY,48000,True,,,
199,CYQA,48000,True,,,
200,CYQB,48000,True,460.0,86.0,76.0
201,CYQD,48000,True,,,
202,CYQF,48000,True,,,
203,CYQG,48000,True,,,
204,CYQH,48000,True,,,
205,CYQI,48000,True,,,
206,CYQK,48000,True,330.0,126.0,33.0
207,CYQL,48000,True,,,
208,CYQM,48000,True,,,
209,CYQN,48000,True,,,
210,CYQQ,48000,True,,,
211,CYQR,48000,True,172.0,143.0,47.0
212,CYQS,48000,True,,,
213,CYQT,48000,True,,,
214,CYQU,48000,True,318.0,71.0,110.0
215,CYQV,48000,True,,,
216,CYQW,48000,True,,,
217,CYQX,48000,True,,,
218,CYQY,48000,True,,,
219,CYQZ,48000,True,,,
220,CYRB,48000,True,,,
221,CYRI,48000,True,,,
222,CYRJ,48000,True,,,
223,CYRL,48000,True,,,
224,CYRO,48000,True,,,
225,CYRQ,48000,True,359.0,165.0,21.0
226,CYRS,48000,True,149.0,211.0,66.0
227,CYRT,48000,True,,,
228,CYRV,48000,True,245.0,108.0,104.0
229,CYSB,48000,True,,,
230,CYSC,48000,True,,,
231,CYSF,48000,True,,,
232,CYSH,48000,True,,,
233,CYSJ,48000,True,393.0,160.0,44.0
234,CYSK,48000,True,,,
235,CYSL,48000,True,,,
236,CYSM,48000,True,,,
237,CYSN,48000,True,,,
238,CYSP,48000,True,,,
239,CYST,48000,True,248.0,155.0,79.0
240,CYSU,48000,True,360.0,127.0,87.0
241,CYSY,48000,True,,,
242,CYTA,48000,True,,,
243,CYTE,48000,True,381.0,65.0,71.0
244,CYTF,48000,True,,,
245,CYTH,48000,True,,,
246,CYTL,48000,True,,,
247,CYTQ,48000,True,,,
249,CYTS,48000,True,,,
250,CYTZ,48000,True,482.0,101.0,31.0
251,CYUB,48000,True,,,
252,CYUL,48000,True,202.0,98.0,60.0
253,CYUT,48000,True,,,
254,CYUX,48000,True,,,
255,CYUY,48000,True,,,
256,CYVB,48000,True,,,
257,CYVC,48000,True,,,
258,CYVK,48000,True,,,
259,CYVM,48000,True,,,
260,CYVO,48000,True,,,
261,CYVP,48000,True,,,
262,CYVQ,48000,True,,,
263,CYVR,48000,True,267.0,185.0,62.0
264,CYVV,48000,True,,,
265,CYVZ,48000,True,316.0,135.0,35.0
266,CYWA,48000,True,,,
267,CYWG,48000,True,196.0,184.0,63.0
268,CYWJ,48000,True,,,
269,CYWK,48000,True,,,
270,CYWL,48000,True,,,
271,CYWP,48000,True,,,
272,CYWY,48000,True,,,
273,CYXC,48000,True,,,
274,CYXE,48000,True,,,
275,CYXH,48000,True,412.0,158.0,28.0
276,CYXJ,48000,True,214.0,49.0,102.0
277,CYXK,48000,True,,,
278,CYXL,48000,True,,,
279,CYXN,48000,True,,,
280,CYXP,48000,True,,,
281,CYXQ,48000,True,,,
282,CYXR,48000,True,,,
283,CYXS,48000,True,,,
284,CYXT,48000,True,,,
285,CYXU,48000,True,482.0,63.0,79.0
286,CYXX,48000,True,445.0,63.0,73.0
287,CYXY,48000,True,,,
288,CYXZ,48000,True,,,
289,CYYB,48000,True,,,
290,CYYC,48000,True,366.0,59.0,57.0
291,CYYD,48000,True,,,
292,CYYE,48000,True,,,
293,CYYF,48000,True,,,
294,CYYG,48000,True,311.0,128.0,42.0
295,CYYH,48000,True,,,
296,CYYJ,48000,True,474.0,85.0,56.0
297,CYYL,48000,True,,,
298,CYYN,48000,True,,,
299,CYYQ,48000,True,,,
300,CYYR,48000,True,355.0,54.0,86.0
301,CYYT,48000,True,181.0,168.0,77.0
302,CYYU,48000,True,,,
303,CYYW,48000,True,307.0,213.0,24.0
304,CYYY,48000,True,,,
305,CYYZ,213300,True,920.0,357.0,407.0
306,CYZD,48000,True,367.0,182.0,33.0
307,CYZE,48000,True,,,
308,CYZF,48000,True,485.0,92.0,43.0
309,CYZG,48000,True,,,
310,CYZH,48000,True,,,
311,CYZP,48000,True,,,
312,CYZR,48000,True,466.0,65.0,73.0
313,CYZS,48000,True,,,
314,CYZT,48000,True,,,
315,CYZU,48000,True,,,
316,CYZV,48000,True,,,
317,CYZW,48000,True,,,
319,CZAC,48000,True,,,
320,CZAM,48000,True,,,
321,CZBB,48000,True,,,
322,CZBD,48000,True,,,
323,CZBF,48000,True,,,
324,CZBM,48000,True,346.0,58.0,62.0
325,CZEE,48000,True,,,
326,CZEM,48000,True,,,
327,CZFA,48000,True,,,
328,CZFD,48000,True,,,
329,CZFG,48000,True,,,
330,CZFM,48000,True,,,
331,CZFN,48000,True,,,
332,CZGF,48000,True,,,
333,CZGI,48000,True,,,
334,CZGR,48000,True,,,
335,CZJG,48000,True,,,
336,CZJN,48000,True,,,
337,CZKE,48000,True,,,
338,CZLQ,48000,True,,,
339,CZMD,48000,True,,,
340,CZMN,48000,True,,,
341,CZMT,48000,True,,,
342,CZNG,48000,True,,,
343,CZPB,48000,True,,,
344,CZPC,48000,True,,,
345,CZRJ,48000,True,,,
346,CZSJ,48000,True,,,
347,CZSN,48000,True,,,
348,CZST,48000,True,,,
349,CZTM,48000,True,,,
350,CZUC,48000,True,,,
351,CZWH,48000,True,,,
352,CZWL,48000,True,,,
353,DAAB,24000,True,108.0,33.0,44.0
354,DAAD,24000,True,,,
355,DAAE,24000,True,77.0,84.0,23.0
356,DAAG,213300,True,828.0,653.0,143.0
357,DAAJ,24000,True,,,
358,DAAP,24000,True,183.0,23.0,28.0
359,DAAS,24000,True,144.0,35.0,52.0
360,DAAT,24000,True,,,
361,DAAV,24000,True,,,
362,DAAY,24000,True,,,
363,DABB,24000,True,169.0,66.0,16.0
364,DABC,24000,True,123.0,108.0,18.0
365,DABS,24000,True,,,
366,DABT,24000,True,280.0,36.0,18.0
367,DAFH,24000,True,,,
368,DAOB,24000,True,117.0,60.0,19.0
369,DAOF,24000,True,,,
370,DAOI,24000,True,,,
371,DAOL,24000,True,,,
372,DAON,24000,True,,,
373,DAOO,24000,True,195.0,67.0,12.0
374,DAOR,24000,True,100.0,45.0,33.0
375,DAOV,24000,True,,,
376,DAUA,24000,True,123.0,44.0,43.0
377,DAUB,24000,True,143.0,88.0,31.0
378,DAUE,24000,True,,,
379,DAUG,24000,True,,,
380,DAUH,24000,True,65.0,102.0,28.0
381,DAUI,24000,True,,,
382,DAUK,24000,True,,,
383,DAUL,24000,True,,,
384,DAUO,24000,True,,,
385,DAUT,24000,True,236.0,54.0,15.0
386,DAUU,24000,True,,,
387,DAUZ,24000,True,83.0,69.0,31.0
388,DBBB,213300,True,868.0,408.0,290.0
389,DFFD,237000,True,1296.0,250.0,194.0
390,DFOO,6000,True,,,
391,DGAA,6000,True,32.0,5.0,2.0
392,DGLE,6000,True,19.0,9.0,7.0
393,DGSI,6000,True,34.0,5.0,5.0
394,DGSN,6000,True,,,
395,DGTK,6000,True,,,
396,DIAP,213300,True,638.0,628.0,260.0
397,DIBK,6000,True,,,
398,DIDL,6000,True,,,
399,DIKO,6000,True,,,
400,DIMN,6000,True,21.0,8.0,4.0
401,DISP,6000,True,,,
402,DIYO,6000,True,,,
403,DNAA,18000,True,93.0,36.0,12.0
404,DNAI,18000,True,,,
405,DNAK,18000,True,88.0,29.0,23.0
406,DNAS,18000,True,,,
407,DNBC,18000,True,,,
408,DNBE,18000,True,,,
409,DNCA,18000,True,166.0,26.0,12.0
410,DNEN,18000,True,111.0,70.0,14.0
411,DNIB,18000,True,77.0,25.0,32.0
412,DNIL,18000,True,,,
413,DNIM,18000,True,84.0,67.0,23.0
414,DNJO,18000,True,,,
415,DNKA,18000,True,,,
416,DNKN,18000,True,,,
417,DNMA,18000,True,64.0,62.0,21.0
418,DNMK,18000,True,,,
419,DNMM,213300,True,972.0,358.0,139.0
420,DNMN,18000,True,,,
421,DNPO,18000,True,78.0,30.0,24.0
422,DNSO,18000,True,111.0,45.0,27.0
423,DNYO,18000,True,73.0,48.0,19.0
424,DNZA,18000,True,,,
425,DRRM,6000,True,,,
426,DRRN,237000,True,867.0,611.0,72.0
427,DRRT,6000,True,,,
428,DRZA,6000,True,14.0,6.0,7.0
429,DRZR,6000,True,20.0,9.0,2.0
430,DTKA,24000,True,94.0,107.0,19.0
431,DTMB,24000,True,112.0,107.0,21.0
432,DTTA,213300,True,1744.0,233.0,128.0
433,DTTF,24000,True,144.0,61.0,22.0
434,DTTG,24000,True,,,
435,DTTJ,24000,True,113.0,61.0,24.0
436,DTTR,24000,True,,,
437,DTTX,24000,True,,,
438,DTTZ,24000,True,,,
439,DXNG,6000,True,11.0,17.0,5.0
440,DXXX,213300,True,474.0,668.0,237.0
441,EBAW,30000,True,176.0,130.0,16.0
442,EBBR,213300,True,952.0,623.0,171.0
443,EBCI,30000,True,125.0,139.0,31.0
444,EBKT,30000,True,110.0,132.0,30.0
445,EBLG,30000,True,125.0,101.0,29.0
446,EBOS,30000,True,138.0,88.0,59.0
447,EDAC,54000,True,303.0,70.0,76.0
448,EDAH,54000,True,200.0,139.0,92.0
449,EDBM,54000,True,383.0,182.0,34.0
450,EDBN,54000,True,,,
451,EDCD,54000,True,386.0,70.0,86.0
452,EDDB,54000,True,312.0,222.0,45.0
453,EDDC,54000,True,189.0,251.0,80.0
454,EDDE,54000,True,354.0,76.0,85.0
455,EDDF,237000,True,1147.0,648.0,215.0
456,EDDG,54000,True,415.0,68.0,85.0
457,EDDH,54000,True,389.0,260.0,25.0
458,EDDK,54000,True,368.0,155.0,27.0
459,EDDL,54000,True,522.0,113.0,65.0
460,EDDM,213300,True,776.0,377.0,357.0
461,EDDN,54000,True,395.0,141.0,77.0
462,EDDP,54000,True,128.0,199.0,46.0
463,EDDR,54000,True,,,
464,EDDS,54000,True,291.0,156.0,124.0
465,EDDT,213300,True,454.0,652.0,140.0
466,EDDV,54000,True,254.0,197.0,15.0
467,EDDW,54000,True,412.0,97.0,122.0
468,EDFE,54000,True,306.0,189.0,20.0
469,EDFH,54000,True,238.0,241.0,33.0
470,EDFM,54000,True,365.0,183.0,47.0
471,EDGE,54000,True,,,
472,EDGS,54000,True,,,
473,EDHI,54000,True,594.0,80.0,47.0
474,EDHK,54000,True,188.0,243.0,94.0
475,EDHL,54000,True,300.0,129.0,75.0
476,EDJA,54000,True,313.0,126.0,45.0
477,EDLN,54000,True,299.0,275.0,23.0
478,EDLP,54000,True,352.0,99.0,53.0
479,EDLV,54000,True,297.0,113.0,116.0
480,EDLW,54000,True,388.0,151.0,58.0
481,EDMA,54000,True,354.0,115.0,79.0
482,EDMO,54000,True,,,
483,EDNY,54000,True,,,
484,EDOP,54000,True,234.0,269.0,52.0
485,EDQD,54000,True,293.0,139.0,60.0
486,EDQM,54000,True,263.0,161.0,61.0
487,EDSB,54000,True,240.0,193.0,25.0
488,EDTD,54000,True,,,
489,EDTL,54000,True,,,
490,EDVE,54000,True,243.0,91.0,112.0
491,EDVK,54000,True,490.0,60.0,49.0
492,EDXW,54000,True,254.0,93.0,112.0
493,EEKA,6000,True,,,
494,EEKE,6000,True,15.0,8.0,3.0
495,EEPU,6000,True,23.0,4.0,6.0
496,EETN,213300,True,775.0,745.0,259.0
497,EETU,6000,True,,,
498,EFET,30000,True,,,
499,EFHA,30000,True,,,
500,EFHF,30000,True,210.0,96.0,15.0
501,EFHK,237000,True,1324.0,242.0,347.0
502,EFIT,30000,True,,,
503,EFIV,30000,True,177.0,60.0,23.0
504,EFJO,30000,True,,,
505,EFJY,30000,True,211.0,58.0,53.0
506,EFKA,30000,True,146.0,134.0,11.0
507,EFKE,30000,True,172.0,123.0,35.0
508,EFKI,30000,True,,,
509,EFKJ,30000,True,,,
510,EFKK,30000,True,132.0,100.0,21.0
511,EFKS,30000,True,,,
512,EFKT,30000,True,,,
513,EFKU,30000,True,,,
514,EFLP,30000,True,330.0,38.0,35.0
515,EFMA,30000,True,217.0,54.0,57.0
516,EFMI,30000,True,,,
517,EFOU,30000,True,94.0,91.0,43.0
518,EFPO,30000,True,,,
519,EFRO,30000,True,107.0,116.0,36.0
520,EFSA,30000,True,,,
521,EFSI,30000,True,89.0,90.0,41.0
522,EFSO,30000,True,,,
523,EFTP,30000,True,,,
524,EFTU,30000,True,,,
525,EFVA,30000,True,167.0,55.0,68.0
526,EFVR,30000,True,,,
527,EFYL,30000,True,,,
528,EGAA,54000,True,387.0,97.0,66.0
529,EGAB,54000,True,,,
530,EGAC,54000,True,300.0,118.0,47.0
531,EGAE,54000,True,346.0,159.0,25.0
532,EGBB,54000,True,259.0,130.0,90.0
533,EGBE,54000,True,371.0,173.0,82.0
534,EGBJ,54000,True,,,
535,EGBN,54000,True,294.0,75.0,90.0
536,EGCC,54000,True,449.0,99.0,84.0
537,EGCN,54000,True,301.0,137.0,43.0
539,EGEC,54000,True,,,
540,EGED,54000,True,211.0,182.0,79.0
541,EGEF,54000,True,,,
543,EGFF,54000,True,365.0,118.0,38.0
545,EGGD,54000,True,348.0,204.0,57.0
546,EGGP,54000,True,523.0,119.0,41.0
547,EGGW,54000,True,370.0,154.0,86.0
548,EGHC,54000,True,,,
549,EGHE,54000,True,,,
550,EGHH,54000,True,370.0,194.0,41.0
551,EGHI,54000,True,380.0,254.0,30.0
553,EGHQ,54000,True,242.0,214.0,81.0
554,EGJA,6000,True,20.0,8.0,6.0
555,EGJB,237000,True,1406.0,470.0,264.0
556,EGJJ,6000,True,17.0,8.0,6.0
557,EGKA,54000,True,224.0,120.0,103.0
559,EGKK,237000,True,1119.0,879.0,88.0
560,EGLC,54000,True,152.0,167.0,76.0
561,EGLF,54000,True,205.0,267.0,56.0
563,EGLL,237000,True,1111.0,564.0,218.0
564,EGMC,54000,True,511.0,80.0,92.0
565,EGMD,54000,True,409.0,146.0,46.0
566,EGNC,54000,True,382.0,152.0,88.0
567,EGNH,54000,True,346.0,87.0,91.0
568,EGNJ,54000,True,469.0,98.0,30.0
569,EGNL,54000,True,254.0,80.0,85.0
570,EGNM,54000,True,450.0,61.0,64.0
573,EGNS,237000,True,743.0,645.0,372.0
574,EGNT,54000,True,255.0,196.0,69.0
575,EGNV,54000,True,252.0,126.0,54.0
576,EGNX,54000,True,292.0,238.0,50.0
578,EGPA,54000,True,434.0,95.0,81.0
579,EGPB,54000,True,,,
580,EGPC,54000,True,178.0,189.0,73.0
581,EGPD,54000,True,607.0,74.0,57.0
582,EGPE,54000,True,257.0,175.0,32.0
583,EGPF,54000,True,188.0,221.0,54.0
584,EGPH,54000,True,216.0,202.0,69.0
585,EGPI,54000,True,,,
586,EGPK,54000,True,595.0,66.0,53.0
587,EGPL,54000,True,,,
588,EGPM,54000,True,344.0,233.0,54.0
589,EGPN,54000,True,480.0,150.0,54.0
590,EGPO,54000,True,,,
591,EGPR,54000,True,295.0,142.0,33.0
592,EGPU,54000,True,208.0,258.0,61.0
593,EGSC,54000,True,337.0,175.0,96.0
594,EGSH,54000,True,126.0,193.0,51.0
595,EGSS,54000,True,121.0,217.0,61.0
596,EGTE,54000,True,211.0,224.0,86.0
598,EGYP,6000,True,,,
599,EHAM,237000,True,1522.0,229.0,188.0
600,EHBK,42000,True,132.0,131.0,63.0
601,EHEH,42000,True,477.0,62.0,42.0
602,EHGG,42000,True,,,
603,EHKD,42000,True,,,
604,EHLE,42000,True,239.0,74.0,86.0
605,EHRD,42000,True,201.0,134.0,62.0
606,EHTW,42000,True,168.0,122.0,48.0
607,EICK,54000,True,312.0,106.0,108.0
608,EICM,54000,True,346.0,202.0,71.0
609,EIDL,54000,True,467.0,118.0,37.0
610,EIDW,237000,True,1473.0,700.0,182.0
611,EIKN,54000,True,,,
612,EIKY,54000,True,345.0,71.0,135.0
613,EINN,54000,True,551.0,108.0,58.0
614,EISG,54000,True,247.0,193.0,46.0
615,EIWF,54000,True,,,
616,EKAH,6000,True,26.0,6.0,6.0
617,EKBI,6000,True,28.0,5.0,3.0
618,EKCH,237000,True,920.0,486.0,180.0
619,EKEB,6000,True,23.0,6.0,8.0
620,EKKA,6000,True,24.0,5.0,3.0
621,EKMB,6000,True,28.0,7.0,3.0
622,EKOD,6000,True,13.0,11.0,3.0
623,EKRK,6000,True,,,
624,EKRN,6000,True,,,
625,EKSB,6000,True,,,
626,EKSN,6000,True,,,
627,EKSV,6000,True,,,
628,EKTS,6000,True,,,
629,EKVG,213300,True,1130.0,493.0,77.0
630,EKVJ,6000,True,25.0,9.0,4.0
631,EKYT,6000,True,14.0,13.0,6.0
632,ELLX,237000,True,1697.0,287.0,199.0
633,ENAL,6000,True,,,
634,ENAN,6000,True,,,
635,ENAT,6000,True,,,
636,ENBN,6000,True,,,
637,ENBO,6000,True,,,
638,ENBR,6000,True,20.0,10.0,4.0
639,ENBS,6000,True,,,
640,ENBV,6000,True,25.0,7.0,2.0
641,ENCN,6000,True,,,
642,ENDU,6000,True,,,
643,ENFG,6000,True,,,
644,ENFL,6000,True,,,
645,ENGM,237000,True,1434.0,549.0,120.0
646,ENHD,6000,True,17.0,12.0,4.0
647,ENHF,6000,True,,,
648,ENHV,6000,True,,,
649,ENKB,6000,True,22.0,7.0,2.0
650,ENKR,6000,True,,,
651,ENLK,6000,True,,,
652,ENMH,6000,True,,,
653,ENML,6000,True,35.0,5.0,3.0
654,ENMS,6000,True,,,
655,ENNA,6000,True,,,
656,ENNK,6000,True,,,
657,ENNO,6000,True,,,
658,ENOL,6000,True,,,
659,ENRO,6000,True,,,
660,ENSH,6000,True,,,
661,ENSK,6000,True,,,
662,ENSN,6000,True,,,
663,ENSO,6000,True,10.0,11.0,3.0
664,ENSR,6000,True,17.0,7.0,5.0
665,ENST,6000,True,,,
666,ENTC,6000,True,24.0,10.0,3.0
667,ENVA,6000,True,27.0,6.0,4.0
668,ENVD,6000,True,,,
669,ENZV,6000,True,16.0,6.0,6.0
670,EPBY,24000,True,125.0,49.0,32.0
671,EPGD,24000,True,119.0,55.0,16.0
672,EPKK,24000,True,104.0,64.0,52.0
673,EPKT,24000,True,95.0,59.0,39.0
674,EPLL,24000,True,90.0,98.0,24.0
675,EPMO,24000,True,134.0,74.0,12.0
676,EPPO,24000,True,82.0,83.0,41.0
677,EPRA,24000,True,156.0,91.0,12.0
678,EPRZ,24000,True,149.0,111.0,12.0
679,EPSC,24000,True,90.0,92.0,13.0
680,EPSY,24000,True,141.0,48.0,18.0
681,EPWA,237000,True,855.0,426.0,348.0
682,EPWR,24000,True,117.0,60.0,39.0
683,EPZG,24000,True,94.0,62.0,34.0
684,ESDF,6000,True,,,
685,ESGG,6000,True,25.0,6.0,4.0
686,ESGJ,6000,True,,,
687,ESGP,6000,True,33.0,5.0,4.0
688,ESGR,6000,True,,,
689,ESGT,6000,True,16.0,7.0,7.0
690,ESKK,6000,True,27.0,5.0,3.0
691,ESKM,6000,True,26.0,6.0,2.0
692,ESKN,6000,True,17.0,7.0,5.0
693,ESMK,6000,True,27.0,5.0,3.0
694,ESMQ,6000,True,,,
695,ESMS,6000,True,15.0,5.0,8.0
696,ESMT,6000,True,,,
697,ESMX,6000,True,,,
698,ESND,6000,True,,,
699,ESNG,6000,True,,,
700,ESNK,6000,True,,,
701,ESNL,6000,True,,,
702,ESNN,6000,True,,,
703,ESNO,6000,True,,,
704,ESNQ,6000,True,,,
705,ESNS,6000,True,,,
706,ESNU,6000,True,,,
707,ESNV,6000,True,,,
708,ESNX,6000,True,,,
709,ESNY,6000,True,,,
710,ESNZ,6000,True,35.0,5.0,2.0
711,ESOE,6000,True,,,
712,ESOH,6000,True,,,
713,ESOK,6000,True,,,
714,ESOW,6000,True,,,
715,ESPA,6000,True,32.0,8.0,2.0
716,ESSA,237000,True,1506.0,448.0,349.0
717,ESSB,6000,True,17.0,14.0,4.0
718,ESSD,6000,True,,,
719,ESSK,6000,True,20.0,6.0,4.0
720,ESSL,6000,True,,,
721,ESSP,6000,True,,,
722,ESST,6000,True,,,
723,ESSU,6000,True,,,
724,ESSV,6000,True,18.0,11.0,4.0
725,ESTA,6000,True,12.0,11.0,2.0
726,ESUD,6000,True,,,
727,ESUP,6000,True,,,
728,ESUT,6000,True,,,
729,ETHC,54000,True,232.0,268.0,48.0
730,ETHF,54000,True,396.0,162.0,44.0
731,ETNL,54000,True,475.0,108.0,71.0
732,ETOU,54000,True,,,
733,ETSI,54000,True,,,
734,EVLA,18000,True,80.0,17.0,30.0
735,EVRA,237000,True,883.0,663.0,98.0
736,EVVA,18000,True,,,
737,EYKA,12000,True,37.0,35.0,16.0
738,EYPA,12000,True,83.0,13.0,9.0
739,EYSA,12000,True,,,
740,EYVI,237000,True,967.0,608.0,174.0
741,FAAB,36000,True,,,
742,FAAG,36000,True,296.0,73.0,47.0
743,FABE,36000,True,,,
744,FABL,36000,True,111.0,159.0,40.0
745,FACT,36000,True,387.0,73.0,34.0
746,FAEL,36000,True,153.0,106.0,47.0
747,FAFB,36000,True,,,
748,FAGC,36000,True,,,
749,FAGG,36000,True,,,
