id,name,fullname,country,continent,iata,icao,lat,lng,rwy,market,hub_cost,rwy_codes
26,Kangerlussuaq,Kangerlussuaq Airport,Greenland,North America,SFJ,BGSF,67.0122218992,-50.7116031647,9219,64,6000,09/27
27,Akureyri,Akureyri Airport,Iceland,Europe,AEY,BIAR,65.66000366210938,-18.07270050048828,6365,68,24000,01/19
28,Egilsstaðir,Egilsstaðir Airport,Iceland,Europe,EGS,BIEG,65.2833023071289,-14.401399612426758,6562,34,24000,04/22
29,Höfn,Hornafjörður Airport,Iceland,Europe,HFN,BIHN,64.295601,-15.2272,4921,86,24000,18/36
30,Húsavík,Húsavík Airport,Iceland,Europe,HZK,BIHU,65.952301,-17.426001,5266,49,24000,02/20
31,Ísafjörður,Ísafjörður Airport,Iceland,Europe,IFJ,BIIS,66.05809783935547,-23.135299682617188,4593,67,24000,08/26
32,Reykjavík - Keflavik,Keflavik International Airport,Iceland,Europe,KEF,BIKF,63.985000610352,-22.605600357056,10056,58,237000,01/19
33,Reykjavik,Reykjavik Airport,Iceland,Europe,RKV,BIRK,64.1299972534,-21.9405994415,5141,73,24000,01/19|13/31
34,Siglufjörður,Siglufjörður Airport,Iceland,Europe,SIJ,BISI,66.133301,-18.9167,3556,72,24000,07/25
35,Vestmannaeyjar,Vestmannaeyjar Airport,Iceland,Europe,VEY,BIVM,63.42430114746094,-20.278900146484375,3953,78,24000,03/21
36,Prishtina,Priština International Airport,Kosovo,Europe,PRN,BKPR,42.5728,21.035801,8165,63,237000,17/35
37,Cat Lake,Cat Lake Airport,Canada,North America,YAC,CYAC,51.72719955444336,-91.82440185546875,3900,49,48000,11/29
38,Fort Frances,Fort Frances Municipal Airport,Canada,North America,YAG,CYAG,48.65420150756836,-93.439697265625,4500,51,48000,03/21
39,La Grande-4,La Grande-4 Airport,Canada,North America,YAH,CYAH,53.754699707,-73.6753005981,5000,39,48000,09/27
40,Alert Bay,Alert Bay Airport,Canada,North America,YAL,CYAL,50.58219909667969,-126.91600036621094,2900,43,48000,09/27
41,Sault Ste Marie,Sault Ste Marie Airport,Canada,North America,YAM,CYAM,46.48500061035156,-84.5093994140625,6000,58,48000,04/22
42,Kasabonika,Kasabonika Airport,Canada,North America,XKS,CYAQ,53.52470016479492,-88.6427993774414,3500,52,48000,03/21
43,Kangirsuk,Kangirsuk Airport,Canada,North America,YKG,CYAS,60.027198791503906,-69.99919891357422,3521,88,48000,04/22
44,Attawapiskat,Attawapiskat Airport,Canada,North America,YAT,CYAT,52.9275016784668,-82.43190002441406,3500,87,48000,06/24
45,St. Anthony,St. Anthony Airport,Canada,North America,YAY,CYAY,51.3918991089,-56.083099365200006,4000,64,48000,10/28
46,Tofino,Tofino / Long Beach Airport,Canada,North America,YAZ,CYAZ,49.079833,-125.775583,5000,54,48000,07/25|16/34
47,Kugaaruk,Kugaaruk Airport,Canada,North America,YBB,CYBB,68.534401,-89.808098,5000,78,48000,05/23
48,Baie-Comeau,Baie Comeau Airport,Canada,North America,YBC,CYBC,49.13249969482422,-68.20439910888672,6000,72,48000,10/28
49,Bella Coola,Bella Coola Airport,Canada,North America,QBC,CYBD,52.387501,-126.596001,4200,42,48000,05/23
50,Uranium City,Uranium City Airport,Canada,North America,YBE,CYBE,59.5614013671875,-108.48100280761719,3930,30,48000,06/24
51,Bonnyville,Bonnyville Airport,Canada,North America,YBY,CYBF,54.304199,-110.744003,4433,69,48000,07/25
53,Baker Lake,Baker Lake Airport,Canada,North America,YBK,CYBK,64.29889678960001,-96.077796936,4200,57,48000,16T/34
54,Campbell River,Campbell River Airport,Canada,North America,YBL,CYBL,49.950801849365234,-125.27100372314453,5000,33,48000,11/29
55,Tadoule Lake,Tadoule Lake Airport,Canada,North America,XTL,CYBQ,58.7061,-98.512199,3200,41,48000,06/24
56,Brandon,Brandon Municipal Airport,Canada,North America,YBR,CYBR,49.91,-99.951897,6500,76,48000,02/20|14/32
57,Brochet,Brochet Airport,Canada,North America,YBT,CYBT,57.8894,-101.679001,3500,67,48000,03/21
58,Berens River,Berens River Airport,Canada,North America,YBV,CYBV,52.358898,-97.018303,2900,59,48000,08/26
59,Lourdes-De-Blanc-Sablon,Lourdes de Blanc Sablon Airport,Canada,North America,YBX,CYBX,51.443599700899995,-57.185298919699996,4500,45,48000,05/23
60,Cartwright,Cartwright Airport,Canada,North America,YRF,CYCA,53.68280029296875,-57.041900634765625,2500,43,48000,09/27
61,Cambridge Bay,Cambridge Bay Airport,Canada,North America,YCB,CYCB,69.1081008911,-105.138000488,5000,60,48000,13T/31
62,Cornwall,Cornwall Regional Airport,Canada,North America,YCC,CYCC,45.09280014038086,-74.56330108642578,3500,45,48000,10/28
63,Nanaimo,Nanaimo Airport,Canada,North America,YCD,CYCD,49.054970224899996,-123.869862556,6602,30,48000,16/34
64,Centralia,Centralia / James T. Field Memorial Aerodrome,Canada,North America,YCE,CYCE,43.285599,-81.508301,5012,90,48000,10/28
65,Castlegar,Castlegar/West Kootenay Regional Airport,Canada,North America,YCG,CYCG,49.2963981628,-117.632003784,5300,69,48000,15/33
66,Miramichi,Miramichi Airport,Canada,North America,YCH,CYCH,47.007801,-65.449203,10006,59,48000,04/22|10/28
67,Charlo,Charlo Airport,Canada,North America,YCL,CYCL,47.990799,-66.330299,6000,50,48000,12/30
68,Cochrane,Cochrane Airport,Canada,North America,YCN,CYCN,49.10559844970703,-81.01360321044922,4500,70,48000,13/31
69,Kugluktuk,Kugluktuk Airport,Canada,North America,YCO,CYCO,67.816704,-115.143997,5500,73,48000,12T/30
70,Chetwynd,Chetwynd Airport,Canada,North America,YCQ,CYCQ,55.687198638916016,-121.62699890136719,4484,57,48000,05/23
71,Cross Lake,Cross Lake (Charlie Sinclair Memorial) Airport,Canada,North America,YCR,CYCR,54.610599517822266,-97.76080322265625,3990,49,48000,05/23
72,Chesterfield Inlet,Chesterfield Inlet Airport,Canada,North America,YCS,CYCS,63.346900939899996,-90.73110198970001,3600,31,48000,12T/30
73,Clyde River,Clyde River Airport,Canada,North America,YCY,CYCY,70.4860992432,-68.5167007446,3500,73,48000,02T/20
74,Dawson City,Dawson City Airport,Canada,North America,YDA,CYDA,64.04309844970703,-139.1280059814453,5000,80,48000,03/21
75,Burwash,Burwash Airport,Canada,North America,YDB,CYDB,61.37110137939453,-139.04100036621094,5000,38,48000,10/28
76,Deer Lake Newf.,Deer Lake Airport,Canada,North America,YDF,CYDF,49.21080017089844,-57.39139938354492,8005,53,48000,07/25
77,Ross River,Ross River Airport,Canada,North America,XRR,CYDM,61.9706001282,-132.42300415,5000,79,48000,08/26
78,Dauphin,Dauphin Barker Airport,Canada,North America,YDN,CYDN,51.100799560546875,-100.052001953125,5000,49,48000,02/20|14/32
79,Dolbeau-St-Félicien,Dolbeau St Felicien Airport,Canada,North America,YDO,CYDO,48.778499603271,-72.375,4971,70,48000,11/29
80,Nain,Nain Airport,Canada,North America,YDP,CYDP,56.549198150634766,-61.680301666259766,2000,66,48000,06/24
81,Dawson Creek,Dawson Creek Airport,Canada,North America,YDQ,CYDQ,55.7422981262207,-120.18299865722656,5000,60,48000,06/24
82,Edmonton,Edmonton International Airport,Canada,North America,YEG,CYEG,53.309700012200004,-113.580001831,11000,50,48000,02/20
83,Arviat,Arviat Airport,Canada,North America,YEK,CYEK,61.0942001343,-94.07080078119999,4000,51,48000,15T/33
84,Elliot Lake,Elliot Lake Municipal Airport,Canada,North America,YEL,CYEL,46.351398468,-82.5614013672,4500,31,48000,12/30
85,Manitowaning,Manitoulin East Municipal Airport,Canada,North America,YEM,CYEM,45.84280014038086,-81.85810089111328,3500,34,48000,02/20
86,Estevan,Estevan Airport,Canada,North America,YEN,CYEN,49.2103004456,-102.966003418,5000,84,48000,08/26
87,Fort Severn,Fort Severn Airport,Canada,North America,YER,CYER,56.01890182495117,-87.67610168457031,3500,66,48000,15/33
88,Edson,Edson Airport,Canada,North America,YET,CYET,53.578899383499994,-116.464996338,6000,80,48000,07/25
89,Inuvik,Inuvik Mike Zubko Airport,Canada,North America,YEV,CYEV,68.30419921880001,-133.483001709,6000,81,48000,06/24
90,Amos,Amos/Magny Airport,Canada,North America,YEY,CYEY,48.563903,-78.249702,5000,73,48000,14/32
91,Fort Albany,Fort Albany Airport,Canada,North America,YFA,CYFA,52.20140075683594,-81.6968994140625,3500,39,48000,10/28
92,Iqaluit,Iqaluit Airport,Canada,North America,YFB,CYFB,63.756402,-68.555801,8605,80,48000,16/34
93,Fredericton,Fredericton Airport,Canada,North America,YFC,CYFC,45.868900299072266,-66.53720092773438,8005,63,48000,09/27
94,Forestville,Forestville Airport,Canada,North America,YFE,CYFE,48.74610137939453,-69.09719848632812,5000,84,48000,09/27
95,Fort Hope,Fort Hope Airport,Canada,North America,YFH,CYFH,51.5619010925293,-87.90779876708984,3500,72,48000,09/27
96,Rivière Rouge,La Macaza / Mont-Tremblant International Inc Airport,Canada,North America,YTM,CYFJ,46.409400939899996,-74.7799987793,5587,53,48000,03/21
97,Flin Flon,Flin Flon Airport,Canada,North America,YFO,CYFO,54.6781005859375,-101.68199920654297,5000,38,48000,18/36
98,Fort Resolution,Fort Resolution Airport,Canada,North America,YFR,CYFR,61.1808013916,-113.690002441,4000,75,48000,12/30
99,Fort Simpson,Fort Simpson Airport,Canada,North America,YFS,CYFS,61.76020050048828,-121.23699951171875,6000,57,48000,14/32
100,Makkovik,Makkovik Airport,Canada,North America,YMN,CYFT,55.076900482177734,-59.1864013671875,2500,70,48000,10/28
101,Texada,Texada Gillies Bay Airport,Canada,North America,YGB,CYGB,49.69419860839844,-124.51799774169922,3000,58,48000,14/32
102,Fort Good Hope,Fort Good Hope Airport,Canada,North America,YGH,CYGH,66.24079895019531,-128.6510009765625,3000,34,48000,06/24
103,Kingston,Kingston Norman Rogers Airport,Canada,North America,YGK,CYGK,44.22529983520508,-76.5969009399414,5000,34,48000,01/19
104,La Grande Rivière,La Grande Rivière Airport,Canada,North America,YGL,CYGL,53.625301361083984,-77.7042007446289,6500,52,48000,13/31
105,Gimli,Gimli Industrial Park Airport,Canada,North America,YGM,CYGM,50.62810134887695,-97.04329681396484,6800,90,48000,15/33
106,Gods Lake Narrows,Gods Lake Narrows Airport,Canada,North America,YGO,CYGO,54.55889892578125,-94.49140167236328,3810,69,48000,14/32
107,Gaspé,Gaspé (Michel-Pouliot) Airport,Canada,North America,YGP,CYGP,48.7752990723,-64.4785995483,4500,63,48000,11/29
108,Geraldton,Geraldton Greenstone Regional Airport,Canada,North America,YGQ,CYGQ,49.77830123901367,-86.93939971923828,5000,61,48000,08/26
109,Îles-de-la-Madeleine,Îles-de-la-Madeleine Airport,Canada,North America,YGR,CYGR,47.42470169067383,-61.778099060058594,4500,42,48000,07/25
110,Igloolik,Igloolik Airport,Canada,North America,YGT,CYGT,69.3647003174,-81.8161010742,3800,45,48000,15T/33
111,Havre St-Pierre,Havre St Pierre Airport,Canada,North America,YGV,CYGV,50.281898498535156,-63.61140060424805,4500,37,48000,09/27
112,Kuujjuarapik,Kuujjuarapik Airport,Canada,North America,YGW,CYGW,55.281898498535156,-77.76529693603516,5052,87,48000,04/22
113,Gillam,Gillam Airport,Canada,North America,YGX,CYGX,56.35749816894531,-94.71060180664062,5000,44,48000,05/23
114,Quaqtaq,Quaqtaq Airport,Canada,North America,YQC,CYHA,61.0463981628418,-69.6177978515625,3520,55,48000,01/19
115,Dryden,Dryden Regional Airport,Canada,North America,YHD,CYHD,49.831699,-92.744202,6000,73,48000,05/23
116,Hope,Hope Airport,Canada,North America,YHE,CYHE,49.3683013916,-121.498001099,3960,50,48000,07/25
117,Hearst,Hearst René Fontaine Municipal Airport,Canada,North America,YHF,CYHF,49.71419906616211,-83.68609619140625,4500,74,48000,04/22
118,Nemiscau,Nemiscau Airport,Canada,North America,YNS,CYHH,51.69110107421875,-76.1355972290039,5000,48,48000,09/27
119,Ulukhaktok,Ulukhaktok Holman Airport,Canada,North America,YHI,CYHI,70.76280212402344,-117.80599975585938,4300,56,48000,06T/24
120,Gjoa Haven,Gjoa Haven Airport,Canada,North America,YHK,CYHK,68.635597229,-95.84970092770001,4400,59,48000,13T/31
121,Hamilton,John C. Munro Hamilton International Airport,Canada,North America,YHM,CYHM,43.173599243199995,-79.93499755859999,10000,65,48000,06/24
122,Hornepayne,Hornepayne Municipal Airport,Canada,North America,YHN,CYHN,49.19309997558594,-84.75890350341797,3500,61,48000,07/25
123,Hopedale,Hopedale Airport,Canada,North America,YHO,CYHO,55.448299407958984,-60.228599548339844,2500,65,48000,07/25
124,Chevery,Chevery Airport,Canada,North America,YHR,CYHR,50.46889877319336,-59.63669967651367,4500,73,48000,08/26
125,Haines Junction,Haines Junction Airport,Canada,North America,YHT,CYHT,60.78919982910156,-137.54600524902344,5000,89,48000,04/22
126,Montréal saint-hubert,Montréal / Saint-Hubert Airport,Canada,North America,YHU,CYHU,45.5175018311,-73.4169006348,7840,58,48000,06L/24R|10/28
127,Hay River,Hay River / Merlyn Carter Airport,Canada,North America,YHY,CYHY,60.8396987915,-115.782997131,6000,80,48000,05/23
128,Halifax,Halifax / Stanfield International Airport,Canada,North America,YHZ,CYHZ,44.8807983398,-63.5085983276,10500,38,48000,05/23
129,Atikokan,Atikokan Municipal Airport,Canada,North America,YIB,CYIB,48.7738990784,-91.6386032104,3500,50,48000,04/22
130,Digby,Digby / Annapolis Regional Airport,Canada,North America,YDG,CYID,44.5458450365,-65.7854247093,3950,84,48000,06/24
131,St-Augustin,St Augustin Airport,Canada,North America,YIF,CYIF,51.2117004395,-58.6582984924,4590,65,48000,02/20
132,Ivujivik,Ivujivik Airport,Canada,North America,YIK,CYIK,62.417301177978516,-77.92530059814453,3521,90,48000,08/26
133,Pond Inlet,Pond Inlet Airport,Canada,North America,YIO,CYIO,72.6832962036,-77.9666976929,4000,31,48000,02T/20
134,Island Lake,Island Lake Airport,Canada,North America,YIV,CYIV,53.857200622558594,-94.65360260009766,4000,50,48000,12/30
135,Fort Liard,Fort Liard Airport,Canada,North America,YJF,CYJF,60.235801696799996,-123.46900177,3000,31,48000,02/20
136,St Jean,St Jean Airport,Canada,North America,YJN,CYJN,45.29439926147461,-73.28109741210938,4000,70,48000,02/20|11/29
137,Stephenville,Stephenville Airport,Canada,North America,YJT,CYJT,48.5442008972168,-58.54999923706055,10000,38,48000,02/20
138,Kamloops,Kamloops Airport,Canada,North America,YKA,CYKA,50.7022018433,-120.444000244,8000,78,48000,04/22
139,Aklavik,Aklavik/Freddie Carmichael Airport,Canada,North America,LAK,CYKD,68.223297,-135.00599,3000,84,48000,12/30
140,Kitchener,Waterloo Airport,Canada,North America,YKF,CYKF,43.460800170899994,-80.3786010742,7002,83,48000,08/26
141,Kangiqsujuaq,Kangiqsujuaq (Wakeham Bay) Airport,Canada,North America,YWB,CYKG,61.5886001587,-71.929397583,3511,49,48000,15/33
142,Key Lake,Key Lake Airport,Canada,North America,YKJ,CYKJ,57.256099700927734,-105.61799621582031,5200,47,48000,03/21
143,Schefferville,Schefferville Airport,Canada,North America,YKL,CYKL,54.805301666259766,-66.8052978515625,5000,87,48000,18/36
144,Akulivik,Akulivik Airport,Canada,North America,AKV,CYKO,60.818599700927734,-78.14859771728516,3510,37,48000,08/26
145,Waskaganish,Waskaganish Airport,Canada,North America,YKQ,CYKQ,51.47330093383789,-78.75830078125,3500,83,48000,06/24
146,Kirkland Lake,Kirkland Lake Airport,Canada,North America,YKX,CYKX,48.21030044555664,-79.98139953613281,4500,39,48000,08/26
147,Kindersley,Kindersley Airport,Canada,North America,YKY,CYKY,51.5175018311,-109.180999756,3507,36,48000,07/25
148,Toronto municipal,Buttonville Municipal Airport,Canada,North America,YKZ,CYKZ,43.86220169067383,-79.37000274658203,3897,43,48000,03/21
149,Aupaluk,Aupaluk Airport,Canada,North America,YPJ,CYLA,59.29669952392578,-69.59970092773438,3521,67,48000,05/23
150,Chapleau,Chapleau Airport,Canada,North America,YLD,CYLD,47.81999969482422,-83.3467025756836,5000,90,48000,05/23
151,Lansdowne House,Lansdowne House Airport,Canada,North America,YLH,CYLH,52.19559860229492,-87.93419647216797,3500,59,48000,08/26
152,Meadow Lake,Meadow Lake Airport,Canada,North America,YLJ,CYLJ,54.125301361083984,-108.52300262451172,5000,52,48000,09/27
153,Lutselk'e,Lutselk'e Airport,Canada,North America,YSG,CYLK,62.418303,-110.681998,2996,35,48000,08T/26
154,Lloydminster,Lloydminster Airport,Canada,North America,YLL,CYLL,53.309200286865234,-110.072998046875,5577,67,48000,08/26
155,Leaf Rapids,Leaf Rapids Airport,Canada,North America,YLR,CYLR,56.513301849365234,-99.98529815673828,3000,62,48000,18/36
156,Alert,Alert Airport,Canada,North America,YLT,CYLT,82.51779937740001,-62.2806015015,5500,61,48000,05T/23
157,Kangiqsualujjuaq,Kangiqsualujjuaq (Georges River) Airport,Canada,North America,XGR,CYLU,58.71139907836914,-65.9927978515625,3521,41,48000,16/34
158,Kelowna,Kelowna International Airport,Canada,North America,YLW,CYLW,49.9561004639,-119.377998352,8900,39,48000,16/34
159,Mayo,Mayo Airport,Canada,North America,YMA,CYMA,63.61640167236328,-135.8679962158203,4856,41,48000,07/25
160,Matane,Matane Airport,Canada,North America,YME,CYME,48.85689926147461,-67.45330047607422,5500,60,48000,09/27
161,Manitouwadge,Manitouwadge Airport,Canada,North America,YMG,CYMG,49.083900451660156,-85.86060333251953,3600,69,48000,05/23
162,Mary's Harbour,Mary's Harbour Airport,Canada,North America,YMH,CYMH,52.302799224853516,-55.847198486328125,2500,50,48000,11/29
163,Moose Jaw,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Canada,North America,YMJ,CYMJ,50.330299377441406,-105.55899810791016,8326,87,48000,03/21|11R/29L
164,Charlevoix,Charlevoix Airport,Canada,North America,YML,CYML,47.59749984741211,-70.2238998413086,4500,89,48000,15/33
165,Fort McMurray,Fort McMurray Airport,Canada,North America,YMM,CYMM,56.653301239,-111.222000122,7503,52,48000,07/25
166,Moosonee,Moosonee Airport,Canada,North America,YMO,CYMO,51.291099548339844,-80.60780334472656,4000,35,48000,06/24
167,Chibougamau,Chapais Airport,Canada,North America,YMT,CYMT,49.77190017700195,-74.5280990600586,6496,78,48000,05/23
168,Umiujaq,Umiujaq Airport,Canada,North America,YUD,CYMU,56.53609848022461,-76.51830291748047,3500,53,48000,03/21
169,Montréal mirabel,Montreal International (Mirabel) Airport,Canada,North America,YMX,CYMX,45.679501,-74.038696,12000,50,48000,06/24
170,Natashquan,Natashquan Airport,Canada,North America,YNA,CYNA,50.189998626708984,-61.78919982910156,4494,49,48000,14/32
171,Wemindji,Wemindji Airport,Canada,North America,YNC,CYNC,53.01060104370117,-78.83110046386719,3510,49,48000,10/28
172,Gatineau,Ottawa / Gatineau Airport,Canada,North America,YND,CYND,45.521701812699995,-75.5635986328,6000,41,48000,09/27
173,Norway House,Norway House Airport,Canada,North America,YNE,CYNE,53.95830154418945,-97.84420013427734,3922,42,48000,05/23
174,Points North Landing,Points North Landing Airport,Canada,North America,YNL,CYNL,58.27669906616211,-104.08200073242188,6000,46,48000,15/33
175,Matagami,Matagami Airport,Canada,North America,YNM,CYNM,49.76169967651367,-77.80280303955078,5000,65,48000,15/33
176,Ekati,Ekati Airport,Canada,North America,YOA,CYOA,64.6988983154,-110.614997864,6411,64,48000,02T/20
177,Old Crow,Old Crow Airport,Canada,North America,YOC,CYOC,67.57060241699219,-139.83900451660156,4900,68,48000,04/22
179,Oxford House,Oxford House Airport,Canada,North America,YOH,CYOH,54.93330001831055,-95.27890014648438,3828,88,48000,04/22
180,High Level,High Level Airport,Canada,North America,YOJ,CYOJ,58.62139892578125,-117.16500091552734,5000,87,48000,13/31
181,Oshawa,Toronto/Oshawa Executive Airport,Canada,North America,YOO,CYOO,43.922798,-78.894997,4000,77,48000,05/23
182,Rainbow Lake,Rainbow Lake Airport,Canada,North America,YOP,CYOP,58.49140167236328,-119.40799713134766,4539,31,48000,09/27
183,Owen Sound,Owen Sound / Billy Bishop Regional Airport,Canada,North America,YOS,CYOS,44.5903015137,-80.8375015259,3932,65,48000,18/36
184,Ottawa intl,Ottawa Macdonald-Cartier International Airport,Canada,North America,YOW,CYOW,45.3224983215332,-75.66919708251953,10000,75,237000,04/22|14/32
185,Prince Albert,Prince Albert Glass Field,Canada,North America,YPA,CYPA,53.214199066199996,-105.672996521,5000,90,48000,08/26
186,Paulatuk,Paulatuk (Nora Aliqatchialuk Ruben) Airport,Canada,North America,YPC,CYPC,69.3608381154,-124.075469971,4000,38,48000,02T/20
187,Port Hawkesbury,Port Hawkesbury Airport,Canada,North America,YPS,CYPD,45.6567001343,-61.3680992126,5000,39,48000,11/29
188,Peace River,Peace River Airport,Canada,North America,YPE,CYPE,56.226898,-117.446999,5000,38,48000,04/22
189,Portage la Prairie,Southport Airport,Canada,North America,YPG,CYPG,49.903099,-98.273817,7000,83,48000,01/19|13L/31R
190,Inukjuak,Inukjuak Airport,Canada,North America,YPH,CYPH,58.471900939941406,-78.07689666748047,3500,66,48000,07/25
191,Pickle Lake,Pickle Lake Airport,Canada,North America,YPL,CYPL,51.4463996887207,-90.21420288085938,4921,76,48000,09/27
192,Pikangikum,Pikangikum Airport,Canada,North America,YPM,CYPM,51.819698333740234,-93.97329711914062,3500,45,48000,09/27
193,Port-Menier,Port Menier Airport,Canada,North America,YPN,CYPN,49.83639907836914,-64.2885971069336,4886,86,48000,11/29
194,Peterborough,Peterborough Airport,Canada,North America,YPQ,CYPQ,44.22999954223633,-78.36329650878906,7000,67,48000,09/27
195,Prince Rupert,Prince Rupert Airport,Canada,North America,YPR,CYPR,54.286098480199996,-130.445007324,6000,33,48000,13/31
196,Powell River,Powell River Airport,Canada,North America,YPW,CYPW,49.83420181274414,-124.5,3627,82,48000,09/27
197,Puvirnituq,Puvirnituq Airport,Canada,North America,YPX,CYPX,60.05059814453125,-77.28690338134766,5013,82,48000,01/19
198,Fort Chipewyan,Fort Chipewyan Airport,Canada,North America,YPY,CYPY,58.7672004699707,-111.11699676513672,5000,72,48000,03/21
199,Muskoka,Muskoka Airport,Canada,North America,YQA,CYQA,44.974700927734375,-79.30329895019531,6000,69,48000,09/27
200,Quebec,Quebec Jean Lesage International Airport,Canada,North America,YQB,CYQB,46.7911,-71.393303,9000,35,48000,06/24
201,The Pas,The Pas Airport,Canada,North America,YQD,CYQD,53.97140121459961,-101.09100341796875,5901,75,48000,13/31
202,Red Deer,Red Deer Regional Airport,Canada,North America,YQF,CYQF,52.18220138549805,-113.89399719238281,5528,59,48000,11/29
203,Windsor,Windsor Airport,Canada,North America,YQG,CYQG,42.27560043334961,-82.95559692382812,9000,58,48000,07/25
204,Watson Lake,Watson Lake Airport,Canada,North America,YQH,CYQH,60.11640167236328,-128.82200622558594,5500,83,48000,08/26
205,Yarmouth,Yarmouth Airport,Canada,North America,YQI,CYQI,43.826900482177734,-66.08809661865234,6000,73,48000,06/24
206,Kenora,Kenora Airport,Canada,North America,YQK,CYQK,49.788299560546875,-94.36309814453125,5800,68,48000,08/26
207,Lethbridge,Lethbridge County Airport,Canada,North America,YQL,CYQL,49.6302986145,-112.800003052,6500,59,48000,05/23
208,Moncton,Greater Moncton International Airport,Canada,North America,YQM,CYQM,46.11220169067383,-64.67859649658203,10001,36,48000,06/24
209,Nakina,Nakina Airport,Canada,North America,YQN,CYQN,50.18280029296875,-86.69640350341797,3500,84,48000,06/24|16/34
210,Comox,Comox Airport,Canada,North America,YQQ,CYQQ,49.71080017089844,-124.88700103759766,10000,44,48000,12/30
211,Regina,Regina International Airport,Canada,North America,YQR,CYQR,50.43190002441406,-104.66600036621094,7900,82,48000,08/26
212,St Thomas,St Thomas Municipal Airport,Canada,North America,YQS,CYQS,42.77000045776367,-81.11080169677734,5013,39,48000,03/21|15/33
213,Thunder Bay,Thunder Bay Airport,Canada,North America,YQT,CYQT,48.37189865112305,-89.32389831542969,7318,61,48000,07/25
214,Grande Prairie,Grande Prairie Airport,Canada,North America,YQU,CYQU,55.1796989441,-118.885002136,8502,54,48000,07/25
215,Yorkton,Yorkton Municipal Airport,Canada,North America,YQV,CYQV,51.26470184326172,-102.46199798583984,4800,73,48000,03/21
216,North Battleford,North Battleford Airport,Canada,North America,YQW,CYQW,52.76919937133789,-108.24400329589844,5000,38,48000,06/24
217,Gander,Gander International Airport,Canada,North America,YQX,CYQX,48.9369010925293,-54.56809997558594,10200,34,48000,03/21|13/31
